dataset,descriptor,method,RMSE,rsq,rank_RMSE,rank_rsq
Public-C,protVec,MLP,0.446,0.112,39,41
Public-C,protVec,RF,0.411,0.155,31,35
Public-C,protVec,SVM,0.37,0.21,18,18
Public-C,protVec,XGB,0.348,0.21,11,18
Public-C,sPairs,GLMNET,0.396,0.138,24,37
Public-C,sPairs,MLP,0.455,0.192,41,24
Public-C,sPairs,RF,0.457,0.195,42,22
Public-C,sPairs,SVM,0.423,0.272,35,5
Public-C,sPairs,XGB,0.421,0.231,34,15
Public-C,sScales,GLMNET,0.325,0.129,4,38
Public-C,sScales,MLP,0.342,0.171,8,30
Public-C,sScales,RF,0.344,0.285,9,3
Public-C,sScales,SVM,0.44,0.098,38,42
Public-C,sScales,XGB,0.341,0.295,7,1
Public-C,VHSE,CNN,0.386,0.182,22,28
Public-C,VHSE,GLMNET,0.406,0.15,27,36
Public-C,VHSE,MLP,0.454,0.123,40,40
Public-C,VHSE,RF,0.42,0.169,32,31
Public-C,VHSE,SVM,0.363,0.191,15,26
Public-C,VHSE,XGB,0.347,0.242,10,11
Public-C,zScales,CNN,0.403,0.159,25,34
Public-C,zScales,GLMNET,0.462,0.074,44,44
Public-C,zScales,MLP,0.428,0.127,37,39
Public-C,zScales,RF,0.393,0.185,23,27
Public-C,zScales,SVM,0.408,0.168,29,32
Public-C,zScales,XGB,0.334,0.262,5,6
Public-D,Identity,CNN,0.96,0.412,16,12
Public-D,Identity,GLMNET,1.002,0.341,26,26
Public-D,Identity,MLP,0.935,0.376,14,23
Public-D,Identity,RF,0.991,0.406,25,14
Public-D,Identity,SVM,0.876,0.515,5,1
Public-D,Identity,XGB,0.948,0.397,15,17
Public-D,mutInd,GLMNET,1.081,0.257,31,32
Public-D,mutInd,MLP,1.107,0.251,35,33
Public-D,mutInd,RF,1.196,0.243,38,35
Public-D,mutInd,SVM,0.887,0.42,6,9
Public-D,mutInd,XGB,1.101,0.244,34,34
Public-D,PCscores ,CNN,0.913,0.453,10,5
Public-D,PCscores ,GLMNET,2.028,0,43,44
Public-D,PCscores ,MLP,1.018,0.328,29,28
Public-D,PCscores ,RF,0.975,0.411,22,13
Public-D,PCscores ,SVM,0.802,0.504,1,2
Public-D,PCscores ,XGB,0.963,0.381,18,22
Public-D,protVec,GLMNET,1.203,0.108,39,40
Public-D,protVec,MLP,1.092,0.177,33,38
Public-D,protVec,RF,0.987,0.359,24,25
Public-D,protVec,SVM,1.079,0.285,30,30
Public-D,protVec,XGB,0.853,0.382,2,20
Public-D,sPairs,GLMNET,1.248,0.011,40,42
Public-D,sPairs,MLP,0.974,0.301,21,29
Public-D,sPairs,RF,0.913,0.474,10,3
Public-D,sPairs,SVM,1.082,0.267,32,31
Public-D,sPairs,XGB,0.869,0.461,4,4
Public-D,sScales,GLMNET,6.43,0.003,44,43
Public-D,sScales,MLP,1.191,0.19,37,37
Public-D,sScales,RF,1.004,0.382,27,20
Public-D,sScales,SVM,1.117,0.218,36,36
Public-D,sScales,XGB,1.015,0.339,28,27
Public-D,VHSE,CNN,0.918,0.448,12,6
Public-D,VHSE,GLMNET,1.251,0.035,41,41
Public-D,VHSE,MLP,0.862,0.404,3,16
Public-D,VHSE,RF,0.97,0.414,20,11
Public-D,VHSE,SVM,0.893,0.421,8,8
Public-D,VHSE,XGB,0.964,0.376,19,23
Public-D,zScales,CNN,0.93,0.427,13,7
Public-D,zScales,GLMNET,1.438,0.147,42,39
Public-D,zScales,MLP,0.889,0.393,7,18
Public-D,zScales,RF,0.978,0.406,23,14
Public-D,zScales,SVM,0.893,0.419,8,10
Public-D,zScales,XGB,0.96,0.386,16,19
